#SYMBOL,SYSTEM,MOMENT,ID_DEAL,PRICE_DEAL,VOLUME,OPEN_POS,DIRECTION
SiH1,F,20110111100025830,255223951,30729.00000,4,677972,S
SiH1,F,20110111100025830,255223952,30725.00000,7,677972,S
SiH1,F,20110111100025830,255223953,30701.00000,52,677972,S
GZH1,F,20110111100025830,255223954,19635.00000,2,352532,B
GZH1,F,20110111100025830,255223955,19638.00000,7,352532,B
GZH1,F,20110111100025830,255223956,19639.00000,7,352532,B
GZH1,F,20110111100025830,255223957,19639.00000,2,352532,B
GZH1,F,20110111100025830,255223958,19640.00000,13,352532,B
GZH1,F,20110111100025830,255223959,19650.00000,10,352532,B
GZH1,F,20110111100025830,255223960,19652.00000,1,352532,B
GZH1,F,20110111100025830,255223961,19652.00000,1,352532,B
GZH1,F,20110111100025830,255223962,19652.00000,2,352532,B
GZH1,F,20110111100025830,255223963,19653.00000,5,352532,B
RIH1,F,20110111100025847,255223964,178825.00000,5,292508,S
RIH1,F,20110111100025847,255223965,178810.00000,3,292508,S
RIH1,F,20110111100025847,255223966,178805.00000,1,292508,S
RIH1,F,20110111100025847,255223967,178800.00000,2,292508,S
RIH1,F,20110111100025847,255223968,178800.00000,10,292508,S
RIH1,F,20110111100025847,255223969,178800.00000,3,292508,S
RIH1,F,20110111100025847,255223970,178800.00000,1,292508,S
LKH1,F,20110111100025907,255223971,17683.00000,11,79694,B
LKH1,F,20110111100025907,255223972,17687.00000,14,79694,B
EDH1,F,20110111100025957,255223973,1.29500,1,142484,B
SiH1,F,20110111100025970,255223974,30758.00000,1,677972,B
SiH1,F,20110111100025970,255223975,30759.00000,1,677972,B
RIH1,F,20110111100025987,255223976,178825.00000,1,292532,B
RIH1,F,20110111100025987,255223977,178840.00000,12,292532,B
SRH1,F,20110111100026017,255223978,10618.00000,3,649162,B
SRH1,F,20110111100026063,255223979,10618.00000,1,649134,S
SRH1,F,20110111100026063,255223980,10617.00000,12,649134,S
SRH1,F,20110111100026063,255223981,10610.00000,2,649134,S
RIH1,F,20110111100026097,255223982,178840.00000,2,292536,S
RIH1,F,20110111100026097,255223983,178840.00000,3,292540,S
SRH1,F,20110111100026190,255223985,10607.00000,5,649124,B
BRF1,F,20110111100026313,255223986,95.21000,4,60384,S
SRH1,F,20110111100026407,255223987,10623.00000,10,649032,S
SRH1,F,20110111100026407,255223988,10623.00000,10,649032,S
SRH1,F,20110111100026407,255223989,10618.00000,10,649032,S
SRH1,F,20110111100026407,255223990,10606.00000,14,649032,S
SRH1,F,20110111100026407,255223991,10605.00000,2,649032,S
SRH1,F,20110111100026407,255223992,10603.00000,1,649032,S
SRH1,F,20110111100026407,255223993,10602.00000,16,649032,S
SRH1,F,20110111100026407,255223994,10602.00000,5,649032,S
SRH1,F,20110111100026407,255223995,10601.00000,2,649032,S
RIH1,F,20110111100026470,255223997,178840.00000,2,292544,S
SRH1,F,20110111100026487,255223998,10632.00000,4,649032,B
SVH1,F,20110111100026533,255224000,29.20000,1,8736,S
RNH1,F,20110111100026690,255224001,22090.00000,1,23562,B
RIH1,F,20110111100026720,255224002,178840.00000,1,292546,B
EDH1,F,20110111100026767,255224003,1.29500,1,142464,B
EDH1,F,20110111100026767,255224004,1.29500,9,142464,B
SRH1,F,20110111100026877,255224005,10607.00000,5,649034,S
RNH1,F,20110111100026987,255224006,22102.00000,2,23562,B
LKH1,F,20110111100027487,255224007,17687.00000,3,79688,B
BRF1,F,20110111100027547,255224008,95.20000,1,60386,S
SVH1,F,20110111100027547,255224009,29.25000,1,8736,B
SRH1,F,20110111100027563,255224010,10606.00000,1,649034,B
SRH1,F,20110111100027907,255224011,10603.00000,1,649046,B
SRH1,F,20110111100027907,255224012,10605.00000,4,649046,B
SRH1,F,20110111100027907,255224013,10606.00000,14,649046,B
SRH1,F,20110111100027970,255224014,10622.00000,10,649046,B
SRH1,F,20110111100027970,255224015,10623.00000,2,649046,B
GZH1,F,20110111100027987,255224016,19650.00000,1,352530,B
GZH1,F,20110111100027987,255224017,19654.00000,1,352530,B
SVH1,F,20110111100028080,255224018,29.22000,1,8736,S
SiH1,F,20110111100028190,255224019,30711.00000,9,677990,S
